,PO / SO #,ASN/DN #,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1692,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,33.0,755.5,14.55
1693,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,440.92
1694,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,317.0,1628.18,119.52
1695,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,272.0,2047.0,7.86
1696,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,1650.0,11339.5,143.49
1697,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,397.44
1698,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,345.0,1888.48,124.0
1699,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,4303.0,12894.85,29.69
1700,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,3882.0,5468.93,960.8
1701,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,360.49
1702,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,1667.0,19069.17,97.07
1703,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,3457.0,1934.31,864.72
1704,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test - Ancillary,No,0.0,0.0,0.0
1705,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,2095.0,10098.25,3.48
1706,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,4345.0,14637.0,993.54
1707,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,0.38
1708,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,77.0,991.49,2.43
1709,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,252.4
1710,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,32.65
1711,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,377.0,5228.67,2.0
1712,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,0.96
1713,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,14.0,1015.24,2.69
1714,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,19.66
